# Trace from filein = ./62270a01                                                                                                                   
#   time        PALFT                                                                                                                        
   2.0000E+00   0.0000E+00
   2.0000E+00   0.0000E+00
   2.0000E+00   0.0000E+00
   2.0001E+00   0.0000E+00
   2.0001E+00   0.0000E+00
   2.0001E+00   0.0000E+00
   2.0001E+00   0.0000E+00
   2.0001E+00   0.0000E+00
   2.0001E+00   0.0000E+00
   2.0001E+00   0.0000E+00
   2.0001E+00   0.0000E+00
   2.0002E+00   0.0000E+00
   2.0002E+00   0.0000E+00
   2.0002E+00   0.0000E+00
   2.0002E+00   0.0000E+00
   2.0002E+00   0.0000E+00
   2.0002E+00   0.0000E+00
   2.0003E+00   0.0000E+00
   2.0003E+00   0.0000E+00
   2.0003E+00   0.0000E+00
   2.0003E+00   0.0000E+00
   2.0004E+00   0.0000E+00
   2.0005E+00   0.0000E+00
   2.0006E+00   0.0000E+00
   2.0007E+00   0.0000E+00
   2.0007E+00   0.0000E+00
   2.0008E+00   0.0000E+00
   2.0008E+00   0.0000E+00
   2.0009E+00   0.0000E+00
   2.0009E+00   0.0000E+00
   2.0010E+00   0.0000E+00
   2.0011E+00   0.0000E+00
   2.0011E+00   0.0000E+00
   2.0013E+00   0.0000E+00
   2.0014E+00   0.0000E+00
   2.0015E+00   0.0000E+00
   2.0017E+00   0.0000E+00
   2.0018E+00   0.0000E+00
   2.0020E+00   0.0000E+00
   2.0022E+00   0.0000E+00
   2.0024E+00   0.0000E+00
   2.0026E+00   0.0000E+00
   2.0028E+00   0.0000E+00
   2.0030E+00   0.0000E+00
   2.0031E+00   0.0000E+00
   2.0032E+00   0.0000E+00
   2.0033E+00   0.0000E+00
   2.0034E+00   0.0000E+00
   2.0035E+00   0.0000E+00
   2.0036E+00   0.0000E+00
   2.0038E+00   0.0000E+00
   2.0040E+00   0.0000E+00
   2.0041E+00   0.0000E+00
   2.0043E+00   0.0000E+00
   2.0044E+00   0.0000E+00
   2.0045E+00   0.0000E+00
   2.0047E+00   0.0000E+00
   2.0049E+00   0.0000E+00
   2.0053E+00   0.0000E+00
   2.0060E+00   0.0000E+00
   2.0072E+00   0.0000E+00
   2.0083E+00   0.0000E+00
   2.0099E+00   0.0000E+00
   2.0126E+00   0.0000E+00
   2.0172E+00   0.0000E+00
   2.0237E+00   0.0000E+00
   2.0312E+00   0.0000E+00
   2.0387E+00   0.0000E+00
   2.0462E+00   0.0000E+00
   2.0537E+00   0.0000E+00
   2.0593E+00   0.0000E+00
   2.0668E+00   0.0000E+00
   2.0742E+00   0.0000E+00
   2.0817E+00   0.0000E+00
