# Trace from filein = ./62270n01                                                                                                                   
#   time        PALFT                                                                                                                        
   2.0000E+00   0.0000E+00
   2.0000E+00   0.0000E+00
   2.0000E+00   0.0000E+00
   2.0001E+00   0.0000E+00
   2.0001E+00   0.0000E+00
   2.0001E+00   0.0000E+00
   2.0001E+00   0.0000E+00
   2.0001E+00   0.0000E+00
   2.0001E+00   0.0000E+00
   2.0001E+00   0.0000E+00
   2.0001E+00   0.0000E+00
   2.0002E+00   0.0000E+00
   2.0002E+00   0.0000E+00
   2.0002E+00   0.0000E+00
   2.0002E+00   0.0000E+00
   2.0002E+00   0.0000E+00
   2.0002E+00   0.0000E+00
   2.0003E+00   0.0000E+00
   2.0003E+00   0.0000E+00
   2.0003E+00   0.0000E+00
   2.0003E+00   0.0000E+00
   2.0004E+00   0.0000E+00
   2.0004E+00   0.0000E+00
   2.0005E+00   0.0000E+00
   2.0006E+00   0.0000E+00
   2.0006E+00   0.0000E+00
   2.0006E+00   0.0000E+00
   2.0007E+00   0.0000E+00
   2.0007E+00   0.0000E+00
   2.0008E+00   0.0000E+00
   2.0008E+00   0.0000E+00
   2.0009E+00   0.0000E+00
   2.0009E+00   0.0000E+00
   2.0010E+00   0.0000E+00
   2.0011E+00   0.0000E+00
   2.0012E+00   0.0000E+00
   2.0013E+00   0.0000E+00
   2.0014E+00   0.0000E+00
   2.0015E+00   0.0000E+00
   2.0016E+00   0.0000E+00
   2.0017E+00   0.0000E+00
   2.0019E+00   0.0000E+00
   2.0021E+00   0.0000E+00
   2.0024E+00   0.0000E+00
   2.0027E+00   0.0000E+00
   2.0032E+00   0.0000E+00
   2.0036E+00   0.0000E+00
   2.0040E+00   0.0000E+00
   2.0043E+00   0.0000E+00
   2.0045E+00   0.0000E+00
   2.0046E+00   0.0000E+00
   2.0047E+00   0.0000E+00
   2.0048E+00   0.0000E+00
   2.0049E+00   0.0000E+00
   2.0051E+00   0.0000E+00
   2.0054E+00   0.0000E+00
   2.0058E+00   0.0000E+00
   2.0063E+00   0.0000E+00
   2.0069E+00   0.0000E+00
   2.0069E+00   0.0000E+00
   2.0069E+00   0.0000E+00
   2.0070E+00   0.0000E+00
   2.0070E+00   0.0000E+00
   2.0070E+00   0.0000E+00
   2.0070E+00   0.0000E+00
   2.0070E+00   0.0000E+00
   2.0070E+00   0.0000E+00
   2.0070E+00   0.0000E+00
   2.0070E+00   0.0000E+00
   2.0070E+00   0.0000E+00
   2.0070E+00   0.0000E+00
   2.0070E+00   0.0000E+00
   2.0070E+00   0.0000E+00
   2.0070E+00   0.0000E+00
